# Experiment File Name : 20180604_TempVar_HBCorgi_Run13.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:18 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"E5","6","ACTIN","1.43","Amp","UNKNOWN","15.708","15.693","0.021","660664.3","667029.06","9001.078","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"E6","8","ACTIN","1.444","Amp","UNKNOWN","16.241","16.27","0.04","468937.3","460559.34","11848.259","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"E7","10","ACTIN","1.441","Amp","UNKNOWN","17.325","17.313","0.016","233819.03","235532.84","2423.688","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","12.0","false",
"E8","11","ACTIN","1.458","Amp","UNKNOWN","15.803","15.838","0.049","621353.75","607833.6","19120.361","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"E9","12","ACTIN","1.43","Amp","UNKNOWN","16.765","16.732","0.046","335089.3","342312.34","10214.908","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"E10","13","ACTIN","1.43","Amp","UNKNOWN","15.448","15.461","0.017","780486.44","774395.56","8613.847","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"E11","15","ACTIN","1.433","Amp","UNKNOWN","15.990","15.991","0.001","551190.06","550968.1","313.895","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"E12","16","ACTIN","1.428","Amp","UNKNOWN","16.951","16.905","0.065","297313.12","306395.2","12843.992","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"F1","1","ACTIN","1.426","Amp","UNKNOWN","15.045","15.073","0.04","1011287.7","993378.5","25327.436","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","9.0","false",
"F2","3","ACTIN","1.442","Amp","UNKNOWN","15.893","15.916","0.033","586470.5","577929.4","12078.924","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"F3","4","ACTIN","1.423","Amp","UNKNOWN","16.022","15.959","0.089","540007.2","562625.0","31986.44","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"F4","5","ACTIN","1.438","Amp","UNKNOWN","16.455","16.492","0.053","408930.56","399392.94","13488.257","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"F5","6","ACTIN","1.431","Amp","UNKNOWN","15.678","15.693","0.021","673393.75","667029.06","9001.078","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"F6","8","ACTIN","1.436","Amp","UNKNOWN","16.298","16.27","0.04","452181.34","460559.34","11848.259","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"F7","10","ACTIN","1.443","Amp","UNKNOWN","17.302","17.313","0.016","237246.66","235532.84","2423.688","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","12.0","false",
"F8","11","ACTIN","1.445","Amp","UNKNOWN","15.873","15.838","0.049","594313.44","607833.6","19120.361","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"F9","12","ACTIN","1.433","Amp","UNKNOWN","16.699","16.732","0.046","349535.38","342312.34","10214.908","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"F10","13","ACTIN","1.437","Amp","UNKNOWN","15.473","15.461","0.017","768304.6","774395.56","8613.847","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"F11","15","ACTIN","1.449","Amp","UNKNOWN","15.991","15.991","0.001","550746.2","550968.1","313.895","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"F12","16","ACTIN","1.44","Amp","UNKNOWN","16.858","16.905","0.065","315477.28","306395.2","12843.992","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"G1","HB","DWV","1.116","No Amp","UNKNOWN","38.251","36.41","2.604","0.141","0.834","0.98","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","34.0","false",
"G2","Gblock","DWV","1.332","Amp","UNKNOWN","27.554","27.554","-","143.244","143.244","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","22.0","false",
"G3","17","DWV","1.244","Inconclusive","UNKNOWN","36.784","36.784","-","0.364","0.364","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","32.0","false",
"G4","18","DWV","1.3","Amp","UNKNOWN","34.085","33.45","0.899","2.088","3.422","1.886","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"G5","HB","BQCV","1.314","Amp","UNKNOWN","26.939","26.929","0.013","193.159","194.377","1.723","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"G6","Gblock","BQCV","1.349","Amp","UNKNOWN","27.024","27.024","-","182.483","182.483","-","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"G7","17","BQCV","1.335","Amp","UNKNOWN","29.918","29.538","0.538","26.324","35.06","12.354","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","25.0","false",
"G8","18","BQCV","1.338","Amp","UNKNOWN","26.239","26.21","0.042","308.415","314.638","8.801","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","21.0","false",
"G9","HB","ACTIN","1.421","Amp","UNKNOWN","18.241","18.195","0.065","129779.4","133735.69","5595.044","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","12.0","false",
"G10","Gblock","ACTIN","1.417","Amp","UNKNOWN","28.523","28.523","-","175.476","175.476","-","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","23.0","false",
"G11","17","ACTIN","1.442","Amp","UNKNOWN","16.161","16.063","0.138","493855.75","526827.44","46628.99","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"G12","18","ACTIN","1.432","Amp","UNKNOWN","15.927","15.971","0.062","573911.75","558140.56","22303.803","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"H1","HB","DWV","1.3","Amp","UNKNOWN","34.569","36.41","2.604","1.527","0.834","0.98","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"H2","No Sample","DWV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"H3","17","DWV","0.0","No Amp","UNKNOWN","Undetermined","36.784","-","1.52891873E10","0.364","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"H4","18","DWV","1.23","Amp","UNKNOWN","32.814","33.45","0.899","4.756","3.422","1.886","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","28.0","false",
"H5","HB","BQCV","1.306","Amp","UNKNOWN","26.920","26.929","0.013","195.596","194.377","1.723","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"H6","No Sample","BQCV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","39.0","false",
"H7","17","BQCV","1.332","Amp","UNKNOWN","29.157","29.538","0.538","43.796","35.06","12.354","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","24.0","false",
"H8","18","BQCV","1.336","Amp","UNKNOWN","26.180","26.21","0.042","320.861","314.638","8.801","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","21.0","false",
"H9","HB","ACTIN","1.435","Amp","UNKNOWN","18.149","18.195","0.065","137691.98","133735.69","5595.044","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","12.0","false",
"H10","No Sample","ACTIN","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","39.0","false",
"H11","17","ACTIN","1.441","Amp","UNKNOWN","15.966","16.063","0.138","559799.1","526827.44","46628.99","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"H12","18","ACTIN","1.43","Amp","UNKNOWN","16.015","15.971","0.062","542369.44","558140.56","22303.803","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",

