Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq Standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Plate
A12,5,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,39,FALSE,41
B12,5,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,39,FALSE,41
C12,5,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,39,FALSE,41
A8,7,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
B8,7,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
E8,7,ACTIN,1.466,Amp,UNKNOWN,16.623,16.599,0.035,366933.6,372817.1,8320.54,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
F8,7,ACTIN,1.452,Amp,UNKNOWN,16.574,16.599,0.035,378700.6,372817.1,8320.54,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
A7,8,DWV,1.282,Amp,UNKNOWN,33.29,33.29,NA,3.494,3.494,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,38
B7,8,DWV,0,No Amp,UNKNOWN,Undetermined,33.29,NA,1.53E+10,3.494,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,FALSE,38
E7,8,ACTIN,1.121,Amp,UNKNOWN,24.853,28.94,5.78,1854.612,932.165,1304.537,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,18,FALSE,38
F7,8,ACTIN,0.986,Inconclusive,UNKNOWN,33.027,28.94,5.78,9.718,932.165,1304.537,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,27,FALSE,38
A3,9,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
B3,9,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
E3,9,ACTIN,1.448,Amp,UNKNOWN,16.533,16.539,0.008,388801.44,387458.72,1898.873,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
F3,9,ACTIN,1.438,Amp,UNKNOWN,16.544,16.539,0.008,386116,387458.72,1898.873,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
A7,10,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
B7,10,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
E7,10,ACTIN,1.438,Amp,UNKNOWN,16.996,16.886,0.156,288812.28,310727.94,30993.424,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
F7,10,ACTIN,1.457,Amp,UNKNOWN,16.776,16.886,0.156,332643.62,310727.94,30993.424,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
A1,11,DWV,1.057,No Amp,UNKNOWN,38.02,38.02,NA,0.163,0.163,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,34,FALSE,39
B1,11,DWV,0,No Amp,UNKNOWN,Undetermined,38.02,NA,1.53E+10,0.163,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
E1,11,ACTIN,1.453,Amp,UNKNOWN,18.426,18.375,0.072,115230.62,119115.086,5493.463,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,13,FALSE,39
F1,11,ACTIN,1.434,Amp,UNKNOWN,18.324,18.375,0.072,122999.55,119115.086,5493.463,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,13,FALSE,39
G11,12,ACTIN,1.445,Amp,UNKNOWN,18.902,18.82,0.117,84870.66,89615.02,6709.547,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,13,FALSE,39
H11,12,ACTIN,1.447,Amp,UNKNOWN,18.737,18.82,0.117,94359.39,89615.02,6709.547,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,13,FALSE,39
A2,12,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,39,FALSE,41
B2,12,DWV,0.601,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,35,FALSE,41
C2,12,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,39,FALSE,41
G9,13,ACTIN,1.43,Amp,UNKNOWN,15.296,15.199,0.137,860993.75,917978.2,80588.17,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,10,FALSE,39
H9,13,ACTIN,1.435,Amp,UNKNOWN,15.102,15.199,0.137,974962.6,917978.2,80588.17,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,10,FALSE,39
A3,13,DWV,1.292,Amp,UNKNOWN,32.579,36.148,5.047,5.539,2.797,3.878,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,29,FALSE,41
B3,13,DWV,0,No Amp,UNKNOWN,Undetermined,36.148,5.047,1.53E+10,2.797,3.878,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,39,FALSE,41
C3,13,DWV,0.717,No Amp,UNKNOWN,39.717,36.148,5.047,0.055,2.797,3.878,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,35,FALSE,41
A10,14,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
B10,14,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
E10,14,ACTIN,1.445,Amp,UNKNOWN,16.086,16.066,0.028,518273.66,525024.75,9547.5,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
F10,14,ACTIN,1.451,Amp,UNKNOWN,16.046,16.066,0.028,531775.9,525024.75,9547.5,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
A11,15,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
B11,15,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
E11,15,ACTIN,1.425,Amp,UNKNOWN,16.326,16.206,0.169,444245.03,481198.72,52260.375,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
F11,15,ACTIN,1.44,Amp,UNKNOWN,16.086,16.206,0.169,518152.38,481198.72,52260.375,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
C9,18,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,FALSE,38
D9,18,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,FALSE,38
G9,18,ACTIN,1.121,Amp,UNKNOWN,27.591,26.426,1.646,319.512,872.747,782.394,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,22,FALSE,38
H9,18,ACTIN,1.161,Amp,UNKNOWN,25.262,26.426,1.646,1425.983,872.747,782.394,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,20,FALSE,38
C4,20,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
D4,20,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
G4,20,ACTIN,1.445,Amp,UNKNOWN,17.707,17.576,0.184,182913.64,199594.6,23590.424,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,12,FALSE,39
H4,20,ACTIN,1.443,Amp,UNKNOWN,17.446,17.576,0.184,216275.53,199594.6,23590.424,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,12,FALSE,39
A5,21,DWV,1.326,Amp,UNKNOWN,26.885,26.802,0.117,220.944,233.398,17.613,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,23,FALSE,39
B5,21,DWV,1.333,Amp,UNKNOWN,26.72,26.802,0.117,245.852,233.398,17.613,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,23,FALSE,39
E5,21,ACTIN,1.431,Amp,UNKNOWN,17.079,17.073,0.009,273779.38,274885.56,1564.392,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
F5,21,ACTIN,1.436,Amp,UNKNOWN,17.067,17.073,0.009,275991.75,274885.56,1564.392,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,12,FALSE,39
A1,22,DWV,1.307,Amp,UNKNOWN,24.134,24.076,0.082,1311.685,1362.725,72.182,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
B1,22,DWV,1.316,Amp,UNKNOWN,24.018,24.076,0.082,1413.766,1362.725,72.182,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
E1,22,ACTIN,1.449,Amp,UNKNOWN,13.879,13.91,0.043,2139056,2097703.5,58481.22,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,10,FALSE,40
F1,22,ACTIN,1.444,Amp,UNKNOWN,13.941,13.91,0.043,2056351.1,2097703.5,58481.22,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,10,FALSE,40
A2,23,DWV,1.301,Amp,UNKNOWN,24.417,24.315,0.143,1092.023,1168.585,108.275,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
B2,23,DWV,1.301,Amp,UNKNOWN,24.214,24.315,0.143,1245.147,1168.585,108.275,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
E2,23,ACTIN,1.43,Amp,UNKNOWN,14.755,14.727,0.039,1218471.8,1240644.2,31356.674,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,11,FALSE,40
F2,23,ACTIN,1.439,Amp,UNKNOWN,14.699,14.727,0.039,1262816.8,1240644.2,31356.674,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,11,FALSE,40
A1,26,DWV,0,No Amp,UNKNOWN,Undetermined,35.775,NA,1.53E+10,0.7,NA,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,39,FALSE,32
B1,26,DWV,1.246,Amp,UNKNOWN,35.775,35.775,NA,0.7,0.7,NA,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,31,FALSE,32
G1,26,ACTIN,1.422,Amp,UNKNOWN,16.488,16.488,NA,400154.1,400154.1,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,32
A3,27,DWV,1.304,Amp,UNKNOWN,25.517,25.67,0.216,535.65,487.608,67.941,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,22,FALSE,40
B3,27,DWV,1.296,Amp,UNKNOWN,25.822,25.67,0.216,439.566,487.608,67.941,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,23,FALSE,40
E3,27,ACTIN,1.446,Amp,UNKNOWN,14.21,14.09,0.17,1729328.6,1874195.9,204873.2,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,10,FALSE,40
F3,27,ACTIN,1.437,Amp,UNKNOWN,13.969,14.09,0.17,2019063.1,1874195.9,204873.2,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,10,FALSE,40
G10,28,ACTIN,1.229,Amp,UNKNOWN,22.592,23.387,1.124,7929.405,5392.078,3588.323,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,17,FALSE,38
H10,28,ACTIN,1.193,Amp,UNKNOWN,24.182,23.387,1.124,2854.75,5392.078,3588.323,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,18,FALSE,38
A9,28,DWV,1.272,Amp,UNKNOWN,26.729,26.618,0.102,244.424,263.069,17.15,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,23,FALSE,41
B9,28,DWV,1.283,Amp,UNKNOWN,26.529,26.618,0.102,278.171,263.069,17.15,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,23,FALSE,41
C9,28,DWV,1.285,Amp,UNKNOWN,26.595,26.618,0.102,266.612,263.069,17.15,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,23,FALSE,41
A2,29,DWV,1.229,No Amp,UNKNOWN,36.413,36.413,NA,0.463,0.463,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,32,FALSE,39
B2,29,DWV,0,No Amp,UNKNOWN,Undetermined,36.413,NA,1.53E+10,0.463,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
E2,29,ACTIN,1.448,Amp,UNKNOWN,17.476,17.435,0.058,212107.12,217892.16,8181.28,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,12,FALSE,39
F2,29,ACTIN,1.453,Amp,UNKNOWN,17.394,17.435,0.058,223677.2,217892.16,8181.28,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,12,FALSE,39
A2,30,DWV,1.317,Amp,UNKNOWN,28.231,28.476,0.347,92.454,79.867,17.801,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,23,FALSE,32
B2,30,DWV,1.306,Amp,UNKNOWN,28.722,28.476,0.347,67.28,79.867,17.801,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,24,FALSE,32
G2,30,ACTIN,1.428,Amp,UNKNOWN,16.787,16.787,NA,330352.56,330352.56,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,32
A3,31,DWV,1.323,Amp,UNKNOWN,26.615,26.629,0.02,263.093,260.741,3.325,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,32
B3,31,DWV,1.319,Amp,UNKNOWN,26.643,26.629,0.02,258.39,260.741,3.325,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,32
G3,31,ACTIN,1.434,Amp,UNKNOWN,16.139,16.139,NA,500835.62,500835.62,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,10,FALSE,32
C4,33,DWV,1.062,Amp,UNKNOWN,33.789,33.108,0.963,2.53,4.32,2.53,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,38
D4,33,DWV,1.121,Amp,UNKNOWN,32.427,33.108,0.963,6.109,4.32,2.53,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,38
G4,33,ACTIN,1.157,Amp,UNKNOWN,24.836,25.497,0.935,1874.958,1338.545,758.603,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,19,FALSE,38
H4,33,ACTIN,1.161,Amp,UNKNOWN,26.158,25.497,0.935,802.131,1338.545,758.603,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,19,FALSE,38
A4,34,DWV,1.327,Amp,UNKNOWN,27.793,27.795,0.003,122.76,122.595,0.233,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,23,FALSE,32
B4,34,DWV,1.315,Amp,UNKNOWN,27.797,27.795,0.003,122.431,122.595,0.233,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,23,FALSE,32
G4,34,ACTIN,1.44,Amp,UNKNOWN,16,16,NA,547543.44,547543.44,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,10,FALSE,32
A5,35,DWV,1.305,Amp,UNKNOWN,27.129,27.189,0.086,188.662,181.557,10.048,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,22,FALSE,32
B5,35,DWV,1.315,Amp,UNKNOWN,27.25,27.189,0.086,174.452,181.557,10.048,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,22,FALSE,32
G5,35,ACTIN,1.426,Amp,UNKNOWN,16.924,16.924,NA,302416.56,302416.56,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,32
A6,36,DWV,1.276,Amp,UNKNOWN,25.391,25.486,0.135,581.301,547.494,47.811,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,20,FALSE,32
B6,36,DWV,1.285,Amp,UNKNOWN,25.582,25.486,0.135,513.686,547.494,47.811,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,20,FALSE,32
G6,36,ACTIN,1.424,Amp,UNKNOWN,17.643,17.643,NA,190580.06,190580.06,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,12,FALSE,32
C6,37,DWV,1.119,Amp,UNKNOWN,32.707,33.582,1.236,5.097,3.37,2.442,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,29,FALSE,38
D6,37,DWV,1.051,Amp,UNKNOWN,34.456,33.582,1.236,1.643,3.37,2.442,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,38
G6,37,ACTIN,1.183,Amp,UNKNOWN,23.771,23.796,0.036,3717.083,3657.415,84.383,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,18,FALSE,38
H6,37,ACTIN,1.162,Amp,UNKNOWN,23.822,23.796,0.036,3597.748,3657.415,84.383,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,18,FALSE,38
C5,38,DWV,1.027,Amp,UNKNOWN,34.404,34.997,0.839,1.699,1.244,0.644,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,38
D5,38,DWV,0.956,Amp,UNKNOWN,35.59,34.997,0.839,0.788,1.244,0.644,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,32,FALSE,38
G5,38,ACTIN,1.218,Amp,UNKNOWN,24.921,24.11,1.147,1775.883,3404.638,2303.408,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,19,FALSE,38
H5,38,ACTIN,1.24,Amp,UNKNOWN,23.299,24.11,1.147,5033.394,3404.638,2303.408,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,18,FALSE,38
G8,39,ACTIN,1.243,Amp,UNKNOWN,23.211,22.889,0.456,5326.657,6692.337,1931.363,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,18,FALSE,38
H8,39,ACTIN,1.242,Amp,UNKNOWN,22.567,22.889,0.456,8058.017,6692.337,1931.363,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,17,FALSE,38
A11,39,DWV,1.274,Amp,UNKNOWN,24.923,24.769,0.154,786.612,871.928,86.637,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,21,FALSE,41
B11,39,DWV,1.284,Amp,UNKNOWN,24.616,24.769,0.154,959.829,871.928,86.637,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,21,FALSE,41
C11,39,DWV,1.298,Amp,UNKNOWN,24.769,24.769,0.154,869.344,871.928,86.637,35.2228,0.993,-3.5567,91.05548,TRUE,0.065,TRUE,3,21,FALSE,41
A7,41,DWV,1.322,Amp,UNKNOWN,30.648,30.983,0.475,19.335,15.926,4.821,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,25,FALSE,32
B7,41,DWV,1.312,Amp,UNKNOWN,31.319,30.983,0.475,12.517,15.926,4.821,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,26,FALSE,32
G7,41,ACTIN,1.433,Amp,UNKNOWN,16.133,16.133,NA,502746.72,502746.72,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,10,FALSE,32
C3,42,DWV,1.291,Amp,UNKNOWN,28.805,28.909,0.147,63.745,59.742,5.662,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,25,FALSE,39
D3,42,DWV,1.317,Amp,UNKNOWN,29.012,28.909,0.147,55.738,59.742,5.662,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,25,FALSE,39
G3,42,ACTIN,1.429,Amp,UNKNOWN,16.703,16.577,0.178,348502.53,379142.44,43331.38,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
H3,42,ACTIN,1.433,Amp,UNKNOWN,16.451,16.577,0.178,409782.34,379142.44,43331.38,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
A8,43,DWV,1.31,Amp,UNKNOWN,29.49,29.785,0.416,40.898,34.42,9.16,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,24,FALSE,32
B8,43,DWV,1.32,Amp,UNKNOWN,30.079,29.785,0.416,27.943,34.42,9.16,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,25,FALSE,32
G8,43,ACTIN,1.434,Amp,UNKNOWN,16.656,16.656,NA,359342.34,359342.34,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,32
A9,44,DWV,1.287,Amp,UNKNOWN,28.585,28.542,0.06,73.512,75.58,2.924,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,24,FALSE,32
B9,44,DWV,1.289,Amp,UNKNOWN,28.5,28.542,0.06,77.647,75.58,2.924,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,24,FALSE,32
G9,44,ACTIN,1.414,Amp,UNKNOWN,16.848,16.848,NA,317549.97,317549.97,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,32
A10,47,DWV,1.319,Amp,UNKNOWN,26.5,26.464,0.051,283.394,290.221,9.654,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,32
B10,47,DWV,1.324,Amp,UNKNOWN,26.428,26.464,0.051,297.048,290.221,9.654,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,32
G10,47,ACTIN,1.428,Amp,UNKNOWN,16.017,16.017,NA,541526.7,541526.7,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,10,FALSE,32
A11,48,DWV,1.286,Amp,UNKNOWN,26.17,26.224,0.076,351.014,339.202,16.706,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,32
B11,48,DWV,1.288,Amp,UNKNOWN,26.277,26.224,0.076,327.389,339.202,16.706,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,32
G11,48,ACTIN,1.417,Amp,UNKNOWN,16.117,16.117,NA,507897.38,507897.38,NA,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,10,FALSE,32
A6,50,DWV,1.192,Amp,UNKNOWN,26.271,26.279,0.011,328.667,327.089,2.231,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,22,FALSE,39
B6,50,DWV,1.325,Amp,UNKNOWN,26.286,26.279,0.011,325.511,327.089,2.231,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,22,FALSE,39
E6,50,ACTIN,1.438,Amp,UNKNOWN,15.749,15.648,0.143,643396.2,688193.1,63352.46,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,10,FALSE,39
F6,50,ACTIN,1.44,Amp,UNKNOWN,15.546,15.648,0.143,732990.1,688193.1,63352.46,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,10,FALSE,39
