# Experiment File Name : 20180605_Burnham_TempVar_19-33_Run14.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:18 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A11","29","DWV","1.329","Amp","UNKNOWN","31.914","31.556","0.507","8.518","11.031","3.554","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","28.0","false",
"A12","30","DWV","1.301","Amp","UNKNOWN","34.571","34.165","0.574","1.525","2.052","0.746","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","31.0","false",
"B1","19","DWV","1.328","Amp","UNKNOWN","24.416","24.438","0.031","1092.384","1077.204","21.468","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","21.0","false",
"B2","20","DWV","1.311","Amp","UNKNOWN","28.433","28.37","0.09","81.089","84.562","4.912","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","25.0","false",
"B3","21","DWV","1.341","Amp","UNKNOWN","24.639","24.589","0.071","945.524","977.16","44.74","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","21.0","false",
"B4","22","DWV","1.331","Amp","UNKNOWN","33.289","32.776","0.726","3.497","5.147","2.333","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","29.0","false",
"B5","23","DWV","0.781","No Amp","UNKNOWN","39.343","39.343","-","0.069","0.069","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","35.0","false",
"B6","24","DWV","1.207","No Amp","UNKNOWN","36.368","36.368","-","0.477","0.477","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","33.0","false",
"B7","25","DWV","1.262","Amp","UNKNOWN","34.784","34.784","-","1.329","1.329","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","31.0","false",
"B8","26","DWV","1.335","Amp","UNKNOWN","28.877","28.788","0.126","60.854","64.575","5.262","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","25.0","false",
"B9","27","DWV","1.312","Amp","UNKNOWN","32.709","32.13","0.819","5.09","7.934","4.022","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","29.0","false",
"B10","28","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","39.0","false",
"B11","29","DWV","1.308","Amp","UNKNOWN","31.198","31.556","0.507","13.544","11.031","3.554","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","27.0","false",
"B12","30","DWV","1.328","Amp","UNKNOWN","33.759","34.165","0.574","2.58","2.052","0.746","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","30.0","false",
"C1","19","BQCV","1.318","Amp","UNKNOWN","26.440","26.55","0.155","269.607","251.172","26.072","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","22.0","false",
"C2","20","BQCV","1.321","Amp","UNKNOWN","25.667","25.521","0.207","452.135","501.078","69.216","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","21.0","false",
"C3","21","BQCV","1.335","Amp","UNKNOWN","27.288","27.406","0.166","152.922","141.789","15.745","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","23.0","false",
"C4","22","BQCV","1.338","Amp","UNKNOWN","31.852","31.852","-","7.221","7.221","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","27.0","false",
"C5","23","BQCV","1.335","Amp","UNKNOWN","31.251","32.456","1.705","10.794","6.473","6.111","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","27.0","false",
"C6","24","BQCV","1.322","Amp","UNKNOWN","27.304","27.387","0.117","151.305","143.348","11.253","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","23.0","false",
"C7","25","BQCV","1.332","Amp","UNKNOWN","27.505","27.266","0.338","132.235","157.127","35.202","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","23.0","false",
"C8","26","BQCV","1.326","Amp","UNKNOWN","24.303","24.244","0.083","1126.484","1172.241","64.71","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","20.0","false",
"C9","27","BQCV","1.348","Amp","UNKNOWN","23.684","23.734","0.071","1704.488","1649.102","78.328","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","19.0","false",
"C10","28","BQCV","1.328","Amp","UNKNOWN","30.683","30.429","0.36","15.779","18.977","4.522","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","26.0","false",
"C11","29","BQCV","1.335","Amp","UNKNOWN","25.813","25.899","0.121","410.103","387.991","31.271","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","21.0","false",
"C12","30","BQCV","1.315","Amp","UNKNOWN","27.487","27.46","0.038","133.876","136.352","3.501","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","23.0","false",
"D1","19","BQCV","1.327","Amp","UNKNOWN","26.660","26.55","0.155","232.736","251.172","26.072","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","22.0","false",
"D2","20","BQCV","1.327","Amp","UNKNOWN","25.374","25.521","0.207","550.021","501.078","69.216","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","20.0","false",
"D3","21","BQCV","1.342","Amp","UNKNOWN","27.523","27.406","0.166","130.655","141.789","15.745","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","23.0","false",
"D4","22","BQCV","0.0","No Amp","UNKNOWN","Undetermined","31.852","-","2.52624323E10","7.221","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","39.0","false",
"D5","23","BQCV","1.336","Amp","UNKNOWN","33.662","32.456","1.705","2.152","6.473","6.111","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","29.0","false",
"D6","24","BQCV","1.338","Amp","UNKNOWN","27.470","27.387","0.117","135.391","143.348","11.253","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","23.0","false",
"D7","25","BQCV","1.331","Amp","UNKNOWN","27.028","27.266","0.338","182.019","157.127","35.202","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","22.0","false",
"D8","26","BQCV","1.34","Amp","UNKNOWN","24.186","24.244","0.083","1217.998","1172.241","64.71","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","19.0","false",
"D9","27","BQCV","1.346","Amp","UNKNOWN","23.784","23.734","0.071","1593.716","1649.102","78.328","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","19.0","false",
"D10","28","BQCV","1.334","Amp","UNKNOWN","30.175","30.429","0.36","22.174","18.977","4.522","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","25.0","false",
"D11","29","BQCV","1.329","Amp","UNKNOWN","25.984","25.899","0.121","365.879","387.991","31.271","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","21.0","false",
"D12","30","BQCV","1.32","Amp","UNKNOWN","27.433","27.46","0.038","138.827","136.352","3.501","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","23.0","false",
"E1","19","ACTIN","1.449","Amp","UNKNOWN","16.096","16.033","0.09","514819.53","536640.06","30858.938","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"E2","20","ACTIN","1.437","Amp","UNKNOWN","18.129","17.025","1.562","139448.92","357924.12","308970.6","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","12.0","false",
"E3","21","ACTIN","1.448","Amp","UNKNOWN","16.685","16.707","0.031","352648.5","347702.53","6994.652","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","11.0","false",
"E4","22","ACTIN","1.45","Amp","UNKNOWN","15.833","15.764","0.099","609452.7","638038.56","40426.555","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"E5","23","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","18.234","-","3.03235564E10","130321.55","-","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","39.0","false",
"E6","24","ACTIN","1.452","Amp","UNKNOWN","15.767","15.77","0.005","636195.2","634767.25","2019.39","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"E7","25","ACTIN","1.445","Amp","UNKNOWN","15.330","15.41","0.113","842092.4","800897.4","58258.535","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"E8","26","ACTIN","1.457","Amp","UNKNOWN","17.547","16.889","0.931","202700.77","337463.06","190582.67","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","12.0","false",
"E9","27","ACTIN","1.449","Amp","UNKNOWN","18.081","17.939","0.201","143861.95","158235.1","20326.7","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","12.0","false",
"E10","28","ACTIN","1.45","Amp","UNKNOWN","15.367","15.273","0.133","822443.6","875331.2","74794.24","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"E11","29","ACTIN","1.446","Amp","UNKNOWN","15.281","15.275","0.008","869331.4","872319.3","4225.589","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","9.0","false",
"E12","30","ACTIN","1.423","Amp","UNKNOWN","15.405","15.353","0.073","802727.44","830362.6","39082.09","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"F1","19","ACTIN","1.437","Amp","UNKNOWN","15.969","16.033","0.09","558460.6","536640.06","30858.938","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"F2","20","ACTIN","1.452","Amp","UNKNOWN","15.920","17.025","1.562","576399.3","357924.12","308970.6","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"F3","21","ACTIN","1.444","Amp","UNKNOWN","16.729","16.707","0.031","342756.56","347702.53","6994.652","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","11.0","false",
"F4","22","ACTIN","1.435","Amp","UNKNOWN","15.694","15.764","0.099","666624.44","638038.56","40426.555","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"F5","23","ACTIN","1.45","Amp","UNKNOWN","18.234","18.234","-","130321.55","130321.55","-","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","12.0","false",
"F6","24","ACTIN","1.438","Amp","UNKNOWN","15.774","15.77","0.005","633339.3","634767.25","2019.39","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"F7","25","ACTIN","1.425","Amp","UNKNOWN","15.490","15.41","0.113","759702.4","800897.4","58258.535","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"F8","26","ACTIN","1.457","Amp","UNKNOWN","16.231","16.889","0.931","472225.38","337463.06","190582.67","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"F9","27","ACTIN","1.445","Amp","UNKNOWN","17.797","17.939","0.201","172608.25","158235.1","20326.7","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","12.0","false",
"F10","28","ACTIN","1.461","Amp","UNKNOWN","15.179","15.273","0.133","928218.7","875331.2","74794.24","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","9.0","false",
"F11","29","ACTIN","1.442","Amp","UNKNOWN","15.270","15.275","0.008","875307.25","872319.3","4225.589","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","9.0","false",
"F12","30","ACTIN","1.437","Amp","UNKNOWN","15.301","15.353","0.073","857997.8","830362.6","39082.09","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","9.0","false",
"G1","Gblock","DWV","1.326","Amp","UNKNOWN","27.342","27.342","-","164.397","164.397","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","24.0","false",
"G2","31","DWV","1.324","Amp","UNKNOWN","32.397","35.389","4.231","6.229","3.179","4.313","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","29.0","false",
"G3","32","DWV","1.313","Amp","UNKNOWN","26.853","26.876","0.032","225.598","222.313","4.645","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","23.0","false",
"G4","33","DWV","1.309","Amp","UNKNOWN","31.191","31.478","0.406","13.597","11.488","2.984","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","27.0","false",
"G5","Gblock","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","39.0","false",
"G6","31","BQCV","0.0","No Amp","UNKNOWN","Undetermined","24.632","-","2.52624323E10","903.537","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","39.0","false",
"G7","32","BQCV","0.0","No Amp","UNKNOWN","Undetermined","20.999","-","2.52624323E10","10265.93","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","39.0","false",
"G8","33","BQCV","0.603","No Amp","UNKNOWN","Undetermined","19.9","-","2.52624323E10","21420.99","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","35.0","false",
"G9","Gblock","ACTIN","1.432","Amp","UNKNOWN","28.372","28.372","-","193.438","193.438","-","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","23.0","false",
"G10","31","ACTIN","1.432","Amp","UNKNOWN","15.633","15.788","0.219","693159.94","630723.25","88298.76","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"G11","32","ACTIN","1.444","Amp","UNKNOWN","15.335","15.383","0.067","839488.3","814589.75","35211.84","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"G12","33","ACTIN","1.434","Amp","UNKNOWN","14.934","14.947","0.019","1086366.5","1077012.2","13228.975","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","9.0","false",
"H1","No Sample","DWV","1.332","Amp","NTC","33.987","-","-","-","-","-","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","30.0","false",
"H2","31","DWV","0.905","No Amp","UNKNOWN","38.380","35.389","4.231","0.129","3.179","4.313","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","35.0","false",
"H3","32","DWV","1.298","Amp","UNKNOWN","26.898","26.876","0.032","219.029","222.313","4.645","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","23.0","false",
"H4","33","DWV","1.322","Amp","UNKNOWN","31.765","31.478","0.406","9.378","11.488","2.984","35.2228","0.993","-3.5567","91.05548","true","0.058","true","3.0","28.0","false",
"H5","No Sample","BQCV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","39.0","false",
"H6","31","BQCV","1.323","Amp","UNKNOWN","24.632","24.632","-","903.537","903.537","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","20.0","false",
"H7","32","BQCV","1.315","Amp","UNKNOWN","20.999","20.999","-","10265.93","10265.93","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","16.0","false",
"H8","33","BQCV","1.329","Amp","UNKNOWN","19.900","19.9","-","21420.99","21420.99","-","34.8074","0.9981","-3.4422","95.21442","true","0.117","true","3.0","15.0","false",
"H9","No Sample","ACTIN","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","39.0","false",
"H10","31","ACTIN","1.448","Amp","UNKNOWN","15.942","15.788","0.219","568286.6","630723.25","88298.76","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"H11","32","ACTIN","1.431","Amp","UNKNOWN","15.430","15.383","0.067","789691.25","814589.75","35211.84","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","10.0","false",
"H12","33","ACTIN","1.438","Amp","UNKNOWN","14.961","14.947","0.019","1067658.0","1077012.2","13228.975","36.5667","0.9988","-3.584","90.11565","true","0.256","true","3.0","9.0","false",

